rock_code,lithology,detail,created_at
1,LI,Lignite,2025-10-30 12:50:13.602975
2,CLLI,Clayey lignite,2025-10-30 12:50:13.602965
3,LICL,Lignitic clay,2025-10-30 12:50:13.602978
4,CBCL,Carbonaceous clay,2025-10-30 12:50:13.602952
5,CL,Clay,2025-10-30 12:50:13.602963
6,SA,Sand,2025-10-30 12:50:13.602979
7,SH,Shale,2025-10-30 12:50:13.602984
8,SI,Silt,2025-10-30 12:50:13.602986
9,SO,Top soil,2025-10-30 12:50:13.602990
11,HB,Hard band in coal seam,2025-10-30 12:50:13.602976
12,WD,Woody coal,2025-10-30 12:50:13.602996
40,CBSA,Carbonaceous sand,2025-10-30 12:50:13.602960
41,CGL,Conglomerate,2025-10-30 12:50:13.602961
45,GRCL,Gravelly clay,2025-10-30 12:50:13.602971
46,GRSA,Gravelly sand,2025-10-30 12:50:13.602972
48,GRSI,Gravelly silt,2025-10-30 12:50:13.602974
51,BC,Burned clay,2025-10-30 12:50:13.602964
56,CLSA,Clayey sand,2025-10-30 12:50:13.602967
58,CLSI,Clayey silt,2025-10-30 12:50:13.602968
59,CLST,Clayey siltstone,2025-10-30 12:50:13.602970
61,SS,Sandstone,2025-10-30 12:50:13.602991
65,SACL,Sandy claystone,2025-10-30 12:50:13.602980
68,SASI,Sandy Slit,2025-10-30 12:50:13.602982
69,SAGR,Sandy Gravel,2025-10-30 12:50:13.602983
71,MS,Mudstone,2025-10-30 12:50:13.602994
81,ST,Siltstone,2025-10-30 12:50:13.602993
85,SICL,Silty claystone,2025-10-30 12:50:13.602987
86,SISA,Silty sand,2025-10-30 12:50:13.602988
