seam_code_id,seam_code,seam_label,seam_system
1,1,Seam 1,Quality
2,2,Seam 2,Quality
3,3,Seam 3,Quality
4,4,Seam 4,Quality
5,5,Seam 5,Quality
6,6,Seam 6,Quality
7,7,Seam 7,Quality
8,8,Seam 8,Quality
9,9,Seam 9,Quality
10,10,Seam 10,Quality
11,11,Seam 11,Quality
12,12,Seam 12,Quality
13,13,Seam 13,Quality
14,14,Seam 14,Quality
15,15,Seam 15,Quality
16,16,Seam 16,Quality
17,17,Seam 17,Quality
18,18,Seam 18,Quality
19,19,Seam 19,Quality
20,20,Seam 20,Quality
21,21,Seam 21,Quality
22,22,Seam 22,Quality
23,23,Seam 23,Quality
24,24,Seam 24,Quality
25,25,Seam 25,Quality
26,26,Seam 26,Quality
27,27,Seam 27,Quality
28,28,Seam 28,Quality
29,29,Seam 29,Quality
30,30,Seam 30,Quality
31,31,Seam 31,Quality
32,32,Seam 32,Quality
33,33,Seam 33,Quality
34,34,Seam 34,Quality
35,35,Seam 35,Quality
36,36,Seam 36,Quality
37,37,Seam 37,Quality
38,38,Seam 38,Quality
39,39,Seam 39,Quality
40,40,Seam 40,Quality
41,41,Seam 41,Quality
42,42,Seam 42,Quality
43,43,Seam 43,Quality
44,44,Seam 44,Quality
45,45,Seam 45,Quality
46,46,Seam 46,Quality
47,47,Seam 47,Quality
48,48,Seam 48,Quality
49,49,Seam 49,Quality
50,50,Seam 50,Quality
51,51,Seam 51,Quality
52,52,Seam 52,Quality
53,53,Seam 53,Quality
54,54,Seam 54,Quality
55,55,Seam 55,Quality
56,56,Seam 56,Quality
57,57,Seam 57,Quality
58,58,Seam 58,Quality
59,59,Seam 59,Quality
60,60,Seam 60,Quality
61,61,Seam 61,Quality
62,62,Seam 62,Quality
63,63,Seam 63,Quality
64,64,Seam 64,Quality
65,65,Seam 65,Quality
66,66,Seam 66,Quality
67,67,Seam 67,Quality
68,68,Seam 68,Quality
69,69,Seam 69,Quality
70,70,Seam 70,Quality
71,71,Seam 71,Quality
72,72,Seam 72,Quality
73,73,Seam 73,Quality
74,74,Seam 74,Quality
75,77,Seam 77,Quality
76,78,Seam 78,Quality
77,79,Seam 79,Quality
78,80,Seam 80,Quality
79,81,Seam 81,Quality
80,82,Seam 82,Quality
81,84,Seam 84,Quality
82,85,Seam 85,Quality
83,86,Seam 86,Quality
84,87,Seam 87,Quality
85,88,Seam 88,Quality
86,90,Seam 90,Quality
87,91,Seam 91,Quality
88,92,Seam 92,Quality
89,93,Seam 93,Quality
90,96,Seam 96,Quality
91,97,Seam 97,Quality
92,102,Seam 102,Quality
93,110,Seam 110,Quality
94,113,Seam 113,Quality
95,122,Seam 122,Quality
96,127,Seam 127,Quality
97,139,Seam 139,Quality
